section,label,count,run_datetime_utc,script_version
original_sentiment_counts,Neutral,1478,2026-06-27T12:30:52.746451+00:00,1180b33
original_sentiment_counts,Positive,911,2026-06-27T12:30:52.746451+00:00,1180b33
original_sentiment_counts,Negative,674,2026-06-27T12:30:52.746451+00:00,1180b33
original_sentiment_counts,Satisfaction,270,2026-06-27T12:30:52.746451+00:00,1180b33
mapped_satisfaction_to_positive,Satisfaction -> Positive,270,2026-06-27T12:30:52.746451+00:00,1180b33
unknown_sentiment_mapped_to_neutral,Unknown -> Neutral,0,2026-06-27T12:30:52.746451+00:00,1180b33
final_sentiment_counts,Neutral,1478,2026-06-27T12:30:52.746451+00:00,1180b33
final_sentiment_counts,Positive,1181,2026-06-27T12:30:52.746451+00:00,1180b33
final_sentiment_counts,Negative,674,2026-06-27T12:30:52.746451+00:00,1180b33
unknown_emotion_mapped_to_neutral,Unknown -> Neutral,11,2026-06-27T12:30:52.746451+00:00,1180b33
unknown_topic_mapped_to_other,Unknown -> Other,2,2026-06-27T12:30:52.746451+00:00,1180b33
